Crime,Value,2012,2008,difference,percentage,value_percentage
Violent Crime,36643876,36643876,41816793,5172917,6.1008164,0.0619444175377424
Rape Legacy,2585333,2585333,2934458,349125,0.411749797,0.00437036046148896
Roberry,10796037,10796037,12371916,1575879,1.858554554,0.0182500951504398
Aggravated Assault,22829867,22829867,26016584,3186717,3.758338928,0.0385926099569578
Property Crime,259352487,259352487,296574855,37222368,43.8991836,0.438420835835705
Burglary,55647514,55647514,64424997,8777483,10.35195659,0.0940690019296367
Larceny,177034858,177034858,202271413,25236555,29.76339822,0.299267500050675
Motor Vechicle Theft,26670615,26670615,29878945,3208330,3.783828791,0.0450851790773546
