Crime,Value,2008,2004,difference,percentage,value_percentage
Violent Crime,41816793,41816793,47420566,5603773,5.946409012,0.0618326389736251
Rape Legacy,2934458,2934458,3309896,375438,0.398393708,0.00433905302344123
Roberry,12371916,12371916,14087073,1715157,1.820028228,0.0182938040093131
Aggravated Assault,26016584,26016584,29462497,3445913,3.656609238,0.0384695700074128
Property Crime,296574855,296574855,336909789,40334934,42.8011654,0.438532097329181
Burglary,64424997,64424997,73100771,8675774,9.206243847,0.0952623884949255
Larceny,202271413,202271413,229161235,26889822,28.53396807,0.299089776079051
Motor Vechicle Theft,29878945,29878945,34648283,4769338,5.06095348,0.0441806720830505
